conflict_id,dyad_id,location,gwno_loc,year,side_a,side_b,start_date,side_a_2nd,side_b_2nd,type_of_conflict,incompatibility,territory_name,intensity_level,version,bilateral_negotiations,mediated_negotiations,peace_effort,agreement,bilateral_negotiations_dummy,mediated_negotiations_dummy,peace_effort_dummy,agreement_dummy,best_fatality_estimate,duration,pko,pko_name,pko_troops,pko_total,v2x_polyarchy,v2stfisccap,v2csprtcpt,territorial,international_war,active,low,none
386,827,Algeria,615,1990,Government of Algeria,Takfir wa'l Hijra,20.12.1990,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0.37,-0.05,-0.18,0,0,0,1,0
386,827,Algeria,615,1991,Government of Algeria,Takfir wa'l Hijra,20.12.1990,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,34,1,0,,0,0,0.37,-0.05,-0.18,0,0,1,0,0
386,827,Algeria,615,1992,Government of Algeria,Takfir wa'l Hijra,20.12.1990,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,8,2,0,,0,0,0.18,-0.05,-0.18,0,0,0,1,0
386,827,Algeria,615,1993,Government of Algeria,Takfir wa'l Hijra,20.12.1990,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,3,0,,0,0,0.17,-0.05,-0.18,0,0,0,0,1
386,827,Algeria,615,1994,Government of Algeria,Takfir wa'l Hijra,20.12.1990,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,4,0,,0,0,0.17,-0.05,-0.18,0,0,0,0,1
386,828,Algeria,615,1992,Government of Algeria,AIS,27.08.1985,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,257,7,0,,0,0,0.18,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1993,Government of Algeria,AIS,27.08.1985,,,3,2,,1,20.1,1,0,1,0,1,0,1,0,775,8,0,,0,0,0.17,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1994,Government of Algeria,AIS,27.08.1985,,,3,2,,2,20.1,1,1,2,0,1,1,1,0,1346,9,0,,0,0,0.17,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1995,Government of Algeria,AIS,27.08.1985,,,3,2,,1,20.1,1,0,1,0,1,0,1,0,25,10,0,,0,0,0.19,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1996,Government of Algeria,AIS,27.08.1985,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,25,11,0,,0,0,0.32,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1997,Government of Algeria,AIS,27.08.1985,,,3,2,,1,20.1,1,0,1,1,1,0,1,1,40,12,0,,0,0,0.32,-0.05,-0.18,0,0,1,0,0
386,828,Algeria,615,1998,Government of Algeria,AIS,27.08.1985,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,13,0,,0,0,0.34,-0.05,-0.18,0,0,0,0,1
386,828,Algeria,615,1999,Government of Algeria,AIS,27.08.1985,,,3,2,,0,20.1,1,0,1,1,1,0,1,1,9,14,0,,0,0,0.34,-0.05,-0.68,0,0,0,1,0
386,828,Algeria,615,2000,Government of Algeria,AIS,27.08.1985,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,15,0,,0,0,0.34,-0.05,-0.68,0,0,0,0,1
386,828,Algeria,615,2001,Government of Algeria,AIS,27.08.1985,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,16,0,,0,0,0.34,-0.05,-0.68,0,0,0,0,1
386,829,Algeria,615,1992,Government of Algeria,GIA,10.02.1992,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,9,0,0,,0,0,0.18,-0.05,-0.18,0,0,0,1,0
386,829,Algeria,615,1993,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,25,1,0,,0,0,0.17,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1994,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,570,2,0,,0,0,0.17,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1995,Government of Algeria,GIA,10.02.1992,,,3,2,,2,20.1,0,0,0,0,0,0,0,0,2983,3,0,,0,0,0.19,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1996,Government of Algeria,GIA,10.02.1992,,,3,2,,2,20.1,0,0,0,0,0,0,0,0,1059,4,0,,0,0,0.32,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1997,Government of Algeria,GIA,10.02.1992,,,3,2,,2,20.1,0,0,0,0,0,0,0,0,1363,5,0,,0,0,0.32,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1998,Government of Algeria,GIA,10.02.1992,,,3,2,,2,20.1,0,0,0,0,0,0,0,0,3029,6,0,,0,0,0.34,-0.05,-0.18,0,0,1,0,0
386,829,Algeria,615,1999,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,965,7,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,829,Algeria,615,2000,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,26,8,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,829,Algeria,615,2001,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,136,9,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,829,Algeria,615,2002,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,35,10,0,,0,0,0.35,-0.05,-0.68,0,0,1,0,0
386,829,Algeria,615,2003,Government of Algeria,GIA,10.02.1992,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,25,11,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,829,Algeria,615,2004,Government of Algeria,GIA,10.02.1992,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,13,12,0,,0,0,0.35,-0.05,-0.68,0,0,0,1,0
386,829,Algeria,615,2005,Government of Algeria,GIA,10.02.1992,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,13,0,,0,0,0.35,-0.05,-0.68,0,0,0,0,1
386,829,Algeria,615,2006,Government of Algeria,GIA,10.02.1992,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,14,0,,0,0,0.35,-0.05,-0.68,0,0,0,0,1
386,830,Algeria,615,1998,Government of Algeria,AQIM,10.12.1998,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,3,0,0,,0,0,0.34,-0.05,-0.18,0,0,0,1,0
386,830,Algeria,615,1999,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,51,1,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2000,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,906,2,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2001,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,506,3,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2002,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,504,4,0,,0,0,0.35,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2003,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,645,5,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2004,Government of Algeria,AQIM,10.12.1998,"Government of Chad, Government of Mali, Government of Niger",,4,2,,1,20.1,0,0,0,0,0,0,0,0,451,6,0,,0,0,0.35,-0.05,-0.68,0,1,1,0,0
386,830,Algeria,615,2005,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,229,7,0,,0,0,0.35,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2006,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,255,8,0,,0,0,0.35,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2007,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,472,9,0,,0,0,0.36,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2008,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,339,10,0,,0,0,0.36,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2009,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,505,11,0,,0,0,0.34,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2010,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,236,12,0,,0,0,0.32,-0.05,-0.69,0,0,1,0,0
386,830,Algeria,615,2011,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,267,13,0,,0,0,0.34,-0.05,-0.69,0,0,1,0,0
386,830,Algeria,615,2012,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,231,14,0,,0,0,0.35,-0.05,-0.64,0,0,1,0,0
386,830,Algeria,615,2013,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,147,15,0,,0,0,0.34,-0.05,-0.64,0,0,1,0,0
386,830,Algeria,615,2014,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,107,16,0,,0,0,0.32,-0.05,-0.64,0,0,1,0,0
386,830,Algeria,615,2015,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,84,17,0,,0,0,0.29,-0.05,-0.64,0,0,1,0,0
386,830,Algeria,615,2016,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,86,18,0,,0,0,0.29,-0.05,-0.68,0,0,1,0,0
386,830,Algeria,615,2017,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,60,19,0,,0,0,0.31,-0.05,-0.60,0,0,1,0,0
386,830,Algeria,615,2018,Government of Algeria,AQIM,10.12.1998,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,33,20,0,,0,0,0.32,-0.05,-0.63,0,0,1,0,0
386,830,Algeria,615,2019,Government of Algeria,AQIM,10.12.1998,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,12,21,0,,0,0,0.30,0.03,-0.97,0,0,0,1,0
386,11984,Algeria,615,2012,Government of Algeria,MUJAO,03.03.2012,,,3,2,,1,20.1,0,0,0,0,0,0,0,0,25,0,0,,0,0,0.35,-0.05,-0.64,0,0,1,0,0
386,11984,Algeria,615,2013,Government of Algeria,MUJAO,03.03.2012,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,22,1,0,,0,0,0.34,-0.05,-0.64,0,0,0,1,0
386,11984,Algeria,615,2014,Government of Algeria,MUJAO,03.03.2012,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.32,-0.05,-0.64,0,0,0,0,1
386,11984,Algeria,615,2015,Government of Algeria,MUJAO,03.03.2012,,,3,2,,0,20.1,0,0,0,0,0,0,0,0,0,3,0,,0,0,0.29,-0.05,-0.64,0,0,0,0,1
13721,14847,Algeria,615,2014,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,0,20.1,0,0,0,0,0,0,0,0,4,0,0,,0,0,0.32,-0.05,-0.64,1,0,0,1,0
13721,14847,Algeria,615,2015,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,1,20.1,0,0,0,0,0,0,0,0,26,1,0,,0,0,0.29,-0.05,-0.64,1,0,1,0,0
13721,14847,Algeria,615,2016,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,0,20.1,0,0,0,0,0,0,0,0,3,2,0,,0,0,0.29,-0.05,-0.68,1,0,0,1,0
13721,14847,Algeria,615,2017,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,0,20.1,0,0,0,0,0,0,0,0,17,3,0,,0,0,0.31,-0.05,-0.60,1,0,0,1,0
13721,14847,Algeria,615,2018,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,0,20.1,0,0,0,0,0,0,0,0,0,4,0,,0,0,0.32,-0.05,-0.63,1,0,0,0,1
13721,14847,Algeria,615,2019,Government of Algeria,IS,11.12.2014,,,3,1,Islamic State,0,20.1,0,0,0,0,0,0,0,0,2,5,0,,0,0,0.30,0.03,-0.97,1,0,0,1,0
327,714,Angola,540,1989,Government of Angola,UNITA,11.11.1975,Government of Cuba,,4,2,,2,20.1,0,4,4,1,0,1,1,1,2810,14,1,UNAVEM,18,18,0.07,-0.18,-3.13,0,1,1,0,0
327,714,Angola,540,1990,Government of Angola,UNITA,11.11.1975,,,3,2,,2,20.1,0,5,5,0,0,1,1,0,2558,15,1,UNAVEM,67,67,0.08,-0.18,-3.13,0,0,1,0,0
